friends_count,followers_count,tidy_tweet,tweet_source,tidy_Location
6487,6055,nigerians kill buhari govt concerned blabla nigerian killed police house,Iphone,Everywhere
2364,1022,government this country everybody #wenogetpresident https qlbg,Android,PH City 
1873,1922,looting shoprite smart move burning service centers will just doing ourselves harm because,Android,Nowhere to be found 
113,151,abacha evil dictator pretty sure were alive this time envoy would troops,Iphone,Abuja  Nigeria
1132,277,#wenogetpresident #saynotoxenophobia #saynotoxenophobia #akaworldwide #sashutdown https cprsq,Web App,Lagos
57,441,imagine pathetic this fools,Iphone,Port Harcourt  Nigeria
18910,36994,abacha evil dictator pretty sure were alive this time envoy would troops,Android,T M D C worldwide 
281,72,abacha alive #wenogetpresident https lqrbk,Android,Kano  Nigeria
6487,6055,abacha evil dictator pretty sure were alive this time envoy would troops,Iphone,Everywhere
1036,2770,xenophobia #wenogetpresident trends twitter https eczwhauxt #nigerians #nigeria #saynotoxenophobia,Android,Lagos  Nigeria
831,329,meanwhile same that deployed hundred shut down bobrisky harmless birthday struggled contain,Android,Nigeria
575,945,yesterday ycee peruzzi vector told shut said loves naija toke makinwa dremo kate henshaw tweeted,Iphone,  
385,375,when protests #saynotoxenophobicattacks turns looting then nigerians leaving police with option,Android,Abuja  Nigeria
6487,6055,buhari addressed nation even ramaphosa spoke country personally cancelled trip south afri,Iphone,Everywhere
412,444,guess south africa after their #xenophobicattacks nigerians ring leader #wenogetpresident,Android,Around The Globe
10,0,#wenogetpresident https dwgxplrrvf,Android,
7803,10196,when worried about #xenophobiainsouthafrica they thinking about #wenogetpresident https,Android,Lagos  Nigeria
1291,808,this good,Iphone,
440,103,this country joke government arrest bobrisky call national disgrace keep mute when nigerians,Web App,Nigeria 
836,658,buhari only reacts anything that threatens government ipob shite sowore #wenogetpresident,Android,Lagos  Nigeria
263,309,clearly nigeria dire need leadership this critical point annals country this further reinfor,Iphone,Lagos  Nigeria
977,66,#dearmrpresident #wenogetpresident hope know just listen buhari spokesman hear nonsense said govt,Android,
304,347,thread boycott dstv simply because premier league download data friendly stre,Android, T                     
738,336,buhari your juniors zambia malawi presidents making incisive decisions your stay lifeless like scare,Android,Nigeria
6487,6055,have never been president simply because read about past here caught,Iphone,Everywhere
564,405,people that voted twice tweeting #wenogetpresident,Android,
499,809,#wizkid #zlatan #xenophobiainsouthafrica #wenogetpresident #buhari #xenophobic #buharimustgo,Android,Nigeria 
514,258,meanwhile same that deployed hundred shut down bobrisky harmless birthday struggled contain,Android,Nigeria
19685,24300,guys forget #wenogetpresident #saynotoxenophobicattacks know shatta bandles birthday today,Iphone,   Jump Street  
1129,1168,what buhari offer #wenogetpresident https zcxxxzmikh,Iphone,
504,1553,nigeria #wenogetpresident https cjqlijud,Android,The Level  Isle of Man
4,1,#wenogetpresident,Android,
94,26,dont know edited this pics summarily describes government https rseyhcfdi,Android,Owerri
27837,28673,when protests #saynotoxenophobicattacks turns looting then nigerians leaving police with option,Web App,
1556,1559,tstv like dstv #saynotoxenophobia #shutdownsouthafrica #wenogetpresident https tjfqw,Android, Nigeria
3949,7500,south africans will kick down statue white dare slap life they stone death burn,Iphone,Heaven
4,3,only words best president nigerians ever #wenogetpresiden,Iphone,
662,397,only words best president nigerians ever #wenogetpresiden,Android,Osogbo Osun State  Nigeria
3107,3259,yesterday ycee peruzzi vector told shut said loves naija toke makinwa dremo kate henshaw tweeted,Android,Bavaria  
691,414,omoyele sowore condemned this leadership played when have dying people places where they,Web App,On your favorite playlist
1024,240,cows president humans #wenogetpresident,Android,National Capital Region  Repub
1398,620,south africans launches another deadly attack nigerians durban capital city today september https,Iphone,Lagos  Nigeria
5752,6023,guess south africa after their #xenophobicattacks nigerians ring leader #wenogetpresident,Android,Lagos  Nigeria
72,151,this part brain left side right side left side there nothing right right,Iphone,
315,44,globacom like #wenogetpresident #stopkillingnigeriansinsa #saynotoxenophobia https eizko,Android,
471,1215,guess south africa after their #xenophobicattacks nigerians ring leader #wenogetpresident,Iphone,
47,9,dont know edited this pics summarily describes government #wenogetpresi,Iphone,
27,62,wish nigerias cows that killed presidency #wenogetpresident https wetysscf,Web App,
1367,736,have said #burna #tiwasavage #whoisaka #wenogetpresident #wizkid https dllc mxwd,Android,Yola  Nigeria
198,59,years tinubu oshiomole desmond elliot mobilized abused attacked jonathan during occupy nigeria protest,Android,Jos
4970,868,goodluck buhari reaction south africa #wenogetpresident https,Android,Biafra
38,34,xenophobia #wenogetpresident trends twitter https eczwhauxt #nigerians #nigeria #saynotoxenophobia,Android,Nigeria
19268,20702,this country joke government arrest bobrisky call national disgrace keep mute when nigerians,Web App,Lagos  Nigeria
23932,23989,this part brain left side right side left side there nothing right right,Android,Kenya
443,671,when protests #saynotoxenophobicattacks turns looting then nigerians leaving police with option,Android,
1873,1922,#xenophobia #saynotoxenophobicattacks #wenogetpresident,Android,Nowhere to be found 
9230,14482,which would prefer burnt dodo like #xenophobiainsouthafrica #saynotoxenophobiaattacks #wenoge,Android,Lagos  Nigeria
273,89,when nigeria crash burns worried killed #wenogetpresident https iinxubqmfk,Deck, T                   
1307,1516,country where president fight missing show concern human lives #wenogetpresident https cqiistrxgv,Android,Southcoast    
299,13,those supporting this evil will judge #saynotoxenophobicattacks #saynotoxenophobia #stopxenophobia #wenoget,Android,Abuja  Nigeria
357,50,globacom like #wenogetpresident #stopkillingnigeriansinsa #saynotoxenophobia https eizko,Android,
51,352,people that voted twice tweeting #wenogetpresident,Android,
1951,1753,biggest regressions ever known #wenogetpresident https,Iphone,Santiago Bernabeu
565,5863,#wenogetpresident #freesoworenow https,Android,Nigeria
565,5863,#wenogetpresident https,Android,Nigeria
649,565,solution xenophobic attack nigerians living south africa since #wenogetpresident expel south african ambassad,Web App,Nigeria
27,62,should pray nigerians resolve violence presidency #wenogetpresident https ngrvpj,Web App,
172,32,investments attacked zambia #xenophobiainsouthafrica #wenogetpresident wizkid https lpvb,Android,
10932,11166,register your business today corporate logo business cards duration days call,Android,Nigeria
58,6,#wenogetpresident where president oooo,Android,
32369,39650,speedy darlington president,Iphone,Lagos  Nigeria
19268,20640,this part brain left side right side left side there nothing right right,Web App,Lagos  Nigeria
482,2205,meanwhile same that deployed hundred shut down bobrisky harmless birthday struggled contain,Iphone,
3336,3658,yesterday ycee peruzzi vector told shut said loves naija toke makinwa dremo kate henshaw tweeted,Web App,Lagos  Nigeria
566,377,people that voted twice tweeting #wenogetpresident,Android,Nigeria
248,655,solution xenophobic attack nigerians living south africa since #wenogetpresident expel south african ambassad,Android,lagos Nigeria
4006,1595,people want buhari grow balls asking general time laugh even when head state,Web App,Abuja  Nigeria
4331,4754,#saynotoxenophobia #wenogetpresident #xenophobiainsouthafrica https myhmikjnz,Android,London  Great Britain
202,1208,solution xenophobic attack nigerians living south africa since #wenogetpresident expel south african ambassad,Android,Uyo  Nigeria
1355,1251,solution xenophobic attack nigerians living south africa since #wenogetpresident expel south african ambassad,Android,Lagos Nigeria
5,7,#wenogetpresident president cattle colony,Android,
106,26,from sensible south african lady stupid south africans #wenogetpresident #xenophobiainsouthafrica https,Android,Warri
19268,20702,this sowore xenophobic attack best ever this responsible president should just watch #revol,Web App,Lagos  Nigeria
27,62,please your protection over nigeria fellow nigerians south africa amen #xenophobiainsouth,Web App,
202,1208,this part brain left side right side left side there nothing right right,Android,Uyo  Nigeria
813,625,#wenogetpresident dear nigerians before burn down shoprite remember have nigerians owns shops https nolopz,Android,Nigeria
33,2,thread boycott dstv simply because premier league download data friendly stre,Android,
202,1208,this country joke government arrest bobrisky call national disgrace keep mute when nigerians,Android,Uyo  Nigeria
199,53,which would prefer burnt dodo like #xenophobiainsouthafrica #saynotoxenophobiaattacks #wenoge,Android,Nigeria
202,1208,meanwhile same that deployed hundred shut down bobrisky harmless birthday struggled contain,Android,Uyo  Nigeria
495,1069,which would prefer burnt dodo like #xenophobiainsouthafrica #saynotoxenophobiaattacks #wenoge,Iphone,Lagos  Nigeria
105,105,nigeria good wetn local find abroad provide good jobs provide good health care centres provide,Android,Nigeria
1655,642,lest have forgetting trillion unremitted nnpc alone that expl,Android,Ibadan  Nigeria
1351,1396,hopefully this wouldn suicide match cancel match your safety #xenophobiainsouthafrica https hopa,Android,Ogun  Nigeria
202,1208,buhari only reacts anything that threatens government ipob shite sowore #wenogetpresident,Android,Uyo  Nigeria
256,132,this part brain left side right side left side there nothing right right,Android,Ibadan  Nigeria
2670,3342,yesterday ycee peruzzi vector told shut said loves naija toke makinwa dremo kate henshaw tweeted,Android,find me
1400,1768,when nigeria crash burns worried killed #wenogetpresident https iinxubqmfk,Iphone,Home
1750,860,factual anyone this #wenogetpresident what president only perambulatin,Android,Katsina  Nigeria 
1398,620,south africans launches another deadly attack nigerians durban capital city today september #wenogetpresident,Iphone,Lagos  Nigeria
4720,4640,what does take impeach sitting president #wenogetpresident,Android,Global
233,387,settle this like buhari retweet burna #wenogetpresident #saynotoxenophobia https ocjoin,Android,Katsina  Nigeria
2306,2489,people want buhari grow balls asking general time laugh even when head state,Web App,Nigeria
2364,1022,even hope buhari knows meaning xenophobia #wenogetpresident,Android,PH City 
340,101,people that voted twice tweeting #wenogetpresident,Android,China  Nigeria
1709,908,where special envoy from nigeria were told they coming haven heard their arrival https bzycillrmb,Web App,Johannesburg  South Africa
440,103,looting shoprite smart move burning service centers will just doing ourselves harm because,Web App,Nigeria 
59388,96247,yesterday ycee peruzzi vector told shut said loves naija toke makinwa dremo kate henshaw tweeted,Android,Treviso  Veneto
4720,4640,settle this like buhari retweet burna #wenogetpresident #saynotoxenophobia https ocjoin,Android,Global
502,105,looting shoprite smart move burning service centers will just doing ourselves harm because,Web App,South Dakota  USA
224,112,solution xenophobic attack nigerians living south africa since #wenogetpresident expel south african ambassad,Iphone,Lagos  Nigeria
3361,2218,save bigbrother south african this year like this biggie morning house mates,Android,Nigeria
207,62,#wenogetpresident,Android,Nigeria
402,405,speeddarlington will better president than this buhari #wenogetpresident,Android,Lagos  Nigeria
962,1005,nigerian owned shops putting disclaimers wake attacks businesses nigeria #xenophobiainso,Iphone,Lagos  Nigeria
2187,1778,nigeria #wenogetpresident https cjqlijud,Android,Lagos Nigeria
440,103,nigeria travelled just take care your family doing legit business after while killed,Web App,Nigeria 
113,65,this country joke government arrest bobrisky call national disgrace keep mute when nigerians,Android,
1387,1412,buhari only reacts anything that threatens government ipob shite sowore #wenogetpresident,Android,Nanda Parbat
2928,3343,zambian join #xenophobiainsouthafrica #wenogetpresident #saynotoxenophobia https gsovif,Android,Minna  Nigeria
22045,24502,femi adeshina ashamed that buhari went behind back recall ambassador pull world https khad,Web App,Lagos  Nigeria
27,62,this part brain left side right side left side there nothing right right,Web App,
4889,3907,#wenogetpresident,Web App,
1022,1276,people that voted twice tweeting #wenogetpresident,Android,In My Head
964,1411,nigerians have been silent doesn mean weak accept nations with open hands doesn mean fools,Android,marvin s room
362,1481,part ogene night vigil igbo said done #wenogetpresident concerned comp,Android,Ireland
284,539,buhari only reacts anything that threatens government ipob shite sowore #wenogetpresident,Android,Kaduna  Nigeria
233,318,guess south africa after their #xenophobicattacks nigerians ring leader #wenogetpresident,Android,Anywhere i orbit
1133,1058,once stand with dino president slow react dull lead this lack proaction important issue,Iphone,Nigeria
1203,1214,nigerians will have sense force #wenogetpresident #xenophobiainsouthafrica #saynotoxenophobicattacks,Android,Zaria     city
7803,10196,every mans dream this country japa that because this country messed this just remin,Android,Lagos  Nigeria
4720,4640,goodluck buhari reaction south africa #wenogetpresident https,Android,Global
669,264,which would prefer burnt dodo like #xenophobiainsouthafrica #saynotoxenophobiaattacks #wenoge,Iphone,Lagos
284,539,this country joke government arrest bobrisky call national disgrace keep mute when nigerians,Android,Kaduna  Nigeria
13033,12869,where special envoy from nigeria were told they coming haven heard their arrival,Android,Durban  South Africa
113,151,buhari addressed nation even ramaphosa spoke country personally cancelled trip south afri,Iphone,Abuja  Nigeria
13102,12842,people that voted twice tweeting #wenogetpresident,Android,ogun state
27,62,when have president nigeria when have presidential statue rock #saynotoxenophobicattacks #wenoge,Web App,
2302,3325,looking south africans nigeria synagogue church nations they full there never,Iphone,Between Psychotic and Iconic
2135,2197,this country joke government arrest bobrisky call national disgrace keep mute when nigerians,Android,Lagos  Nigeria
10,7,#wenogetpresident this politicians take joke,Iphone,
1243,1333,another video inspired this your problem prolly bigger than video others,Android,Kwa Thema  South Africa
489,105,lest have forgetting trillion unremitted nnpc alone that expl,Android,Nigeria
604,614,nigeria travelled just take care your family doing legit business after while killed,Android,
760,738,have never been president simply because read about past here caught,Android,Abuja  Nigeria
324,115,settle this like buhari retweet burna #wenogetpresident #saynotoxenophobia https ocjoin,Android,Kano  Nigeria
774,560,nigerians funny some saying they miss others abacha others because #xenophobicattacks south,Android,
264,1262,meanwhile same that deployed hundred shut down bobrisky harmless birthday struggled contain,Android,Lagos  Nigeria
70,14,settle this like buhari retweet burna #wenogetpresident #saynotoxenophobia https ocjoin,Android,
1047,1101,welcome nigeria where president active only during election campaigns #wenogetpresident #saynotoxenophobia,Android,Ogun  Nigeria
440,103,they fueled almagamation they made sanni abacha helped them ghadaffi both countered their policies liste,Web App,Nigeria 
180,406,while nigerians being killed this idiot entertaining frivolity #xenophobiainsouthafrica #wenogetpresident,Android,Abuja
216,54,#football #music #birthday #cake #wenogetpresident #periscope https oveii,Periscope,                             
19268,20702,#dearmrpresident kindly resign person dropped this takeover because #wenogetpresident https,Web App,Lagos  Nigeria
1041,733,please this instead #wenogetpresident https vyysd,Iphone,ikotun
4998,1602,settle this like buhari retweet burna #wenogetpresident #saynotoxenophobia https ocjoin,Iphone,Check  Google    
12812,30335,team been killing since last season kill person know #wenogetpresident,Android,The Abroad  IJN 
2135,2197,this part brain left side right side left side there nothing right right,Android,Lagos  Nigeria
284,539,this part brain left side right side left side there nothing right right,Android,Kaduna  Nigeria
653,90,good talk,Android,
1001,839,settle this like buhari retweet burna #wenogetpresident #saynotoxenophobia https ocjoin,Android,Portharcourt  Nigeria
768,582,goodluck buhari reaction south africa #wenogetpresident https,Android,
173,55,just kano only,Android,
263,377,yesterday ycee peruzzi vector told shut said loves naija toke makinwa dremo kate henshaw tweeted,Android,
198,59,goodluck buhari reaction south africa #wenogetpresident https,Android,Jos
4,45,more reactions trail attacks nigerians south africa read more https xapnt https,First Reports,Uyo  Nigeria
1345,1009,femi adeshina ashamed that buhari went behind back recall ambassador pull world economic,Android,
2306,2489,looting shoprite smart move burning service centers will just doing ourselves harm because,Web App,Nigeria
44,8,this part brain left side right side left side there nothing right right,Iphone,Lagos  Nigeria
1475,1980,this good https jlqjjyzl,Android,Entebbe  uganda
440,103,yesterday ycee peruzzi vector told shut said loves naija toke makinwa dremo kate henshaw tweeted,Web App,Nigeria 
459,1141,saving that https lnjhiapqjy,Android,Jos  Keffi 
513,238,zambian join #xenophobiainsouthafrica #wenogetpresident #saynotoxenophobia https gsovif,Android,Kampala Uganda 
3835,3090,people that voted twice tweeting #wenogetpresident,Android,Abuja  Nigeria
1570,913,more like your ancestors these people since #wenogetpresident south africans https nxomhmjptg,Iphone,Alaska  EKO
1824,2118,this kind pressure that works looting vandalizing businesses owned nigerians #saynotoxenophobi,Web App,Nigeria
952,1118,when iran shot down america drone earlier this year donald trump lament twitter within hour ordinary,Android,Casterly Rock
15324,17258,clearly nigeria dire need leadership this critical point annals country this further reinfor,Iphone,Careffour Condom 
2595,1884,best caption will from #wenogetpresident your caption https upay nlflc,Android,Nigeria 
107,1199,whats synonymous with them they followed their passion monetized this goes millennials,Web App,Nigeria 
825,347,lost life just being nigerian #wenogetpresident wenog #xenophobiainsouthafrica,Web App,ff me on IG  venombarz
5051,11753,zambian join #xenophobiainsouthafrica #wenogetpresident #saynotoxenophobia https gsovif,Iphone,Ba Sing Se
1345,1009,xenophobia #wenogetpresident trends twitter https eczwhauxt #nigerians #nigeria #saynotoxenophobia,Android,
614,618,globacom like #wenogetpresident #stopkillingnigeriansinsa #saynotoxenophobia https eizko,Iphone,Atlanta  GA
895,430,this sowore xenophobic attack best ever this responsible president should just watch #revol,Android,Uyo
8497,8859,south africans launches another deadly attack nigerians durban capital city today september #wenogetpresident,Iphone,Lagos Nigeria
773,1378,made much sense like retweet wizkid #saynotoxenophobia #wenogetpresident #xenophobia,Android,
264,37,this part brain left side right side left side there nothing right right,Android,Akure  Nigeria
440,103,years tinubu oshiomole desmond elliot mobilized abused attacked jonathan during occupy nigeria protest,Web App,Nigeria 
598,264,worried about females have supportive friends family colleagues boyfriends loved ones https vdwkvafduy,Android,South Africa
9233,11067,this part brain left side right side left side there nothing right right,Web App,
754,529,years tinubu oshiomole desmond elliot mobilized abused attacked jonathan during occupy nigeria protest,Web App,Chicago  IL
993,1175,team been killing since last season kill person know #wenogetpresident,Android,Lagos  Nigeria
1146,607,femi adeshina ashamed that buhari went behind back recall ambassador pull world economic,Android,Here and there 
11271,13555,what #wenogetpresident https ndqmyndxt,Android,Ek 
648,1320,president chai #xenophobia #saynotoxenophobia #wenogetpresident https pehn,Android,Lagos 
3361,2218,picture since decoration #clown #wenogetpresident,Android,Nigeria
527,545,thread boycott dstv simply because premier league download data friendly stre,Iphone,Pursuit of Knowledge    Forever a Learner
1393,1190,this part brain left side right side left side there nothing right right,Android,Nigeria
685,1455,this part brain left side right side left side there nothing right right,Iphone,Caught up in God s Grace   
219,297,guess south africa after their #xenophobicattacks nigerians ring leader #wenogetpresident,Android,
284,539,wish buhari alive what going this country #wenogetpresident #saynotoxenophobia,Android,Kaduna  Nigeria
571,28,dstv office surulere lagos down #xenophobicattacks #wenogetpresident #saynotoxenophobicattacks https nukucjkl,Android,
92,84,#wenogetpresident #xenophobiainsouthafrica #revolutionnow #freesowore #revolutionisnow #revolutionprotest,Android,Lagos  Nigeria
1884,1674,honestly think have president most nigerians have concluded that #wenogetpresident,Android,Houston  TX
3,1,settle this like buhari retweet burna #wenogetpresident #saynotoxenophobia https ocjoin,Android,Nigeria
285,439,looking south africans nigeria synagogue church nations they full there never,Web App,Lagos  Nigeria
2328,3169,dumb look,Web App,Utopia
785,1239,femi adeshina ashamed that buhari went behind back recall ambassador pull world economic,Iphone,
284,539,travel chill name medical check will number time grow balls head,Android,Kaduna  Nigeria
880,282,people that voted twice tweeting #wenogetpresident,Android,Nigeria
3580,1102,save bigbrother south african this year like this biggie morning house mates,Web App,Nigeria
264,37,wait special convoy never touch down pretoria since yesterday trekk #wenogetpresident https,Android,Akure  Nigeria
124,138,when nigeria crash burns worried killed #wenogetpresident https iinxubqmfk,Android,Victoria Island  Nigeria
1169,620,once stand with dino president slow react dull lead this lack proaction important issue,Iphone,Abuja  Nigeria
240,95,president exist have vague presidency #wenogetpresident,Iphone,
202,191,protesters always doing wrong things this shoprite where whole problem started from would attac https ahnfdgjrxv,Web App,Lagos 
47043,67733,fastest growing economies africa ghana ethiopia djibouti senegal,Android,Lagos  Nigeria
1873,1922,buhari only reacts anything that threatens government ipob shite sowore #wenogetpresident,Android,Nowhere to be found 
1785,1215,correct hashtag should #weneedanewpresident simple #wenogetpresident,Android,Anambra  Nigeria
365,259,factual anyone this #wenogetpresident what president only perambulatin,Android,Lagos  Nigeria
3361,2218,abacha evil dictator pretty sure were alive this time envoy would troops,Android,Nigeria
2368,824,said #wenogetpresident https,Android, T                 
284,539,once stand with dino president slow react dull lead this lack proaction important issue,Android,Kaduna  Nigeria
202,191,dear protesters forgetting this shoprite #wenogetpresident #saynotoxenophobia https ncuarguy,Web App,Lagos 
2266,2366,nigeria #wenogetpresident https cjqlijud,Iphone,Nigeria South korea 
1204,720,south african owned businesses #zambia being attacked pick turn pick enjoy https acyrjjwxpu,Android,Nigeria
6487,6055,fastest growing economies africa ghana ethiopia djibouti senegal,Iphone,Everywhere
1203,1214,nigerians will have sense force #wenogetpresident #xenophobiainsouthafrica #saynotoxenophobicattacks https xktc,Android,Zaria     city
284,539,settle this like buhari retweet burna #wenogetpresident #saynotoxenophobia https ocjoin,Android,Kaduna  Nigeria
12207,20926,sorry kill some #southafricans yesternight massive #xenophobiainsouthafrica sorry have disa,Iphone,kampala uganda
1470,620,goodluck buhari reaction south africa #wenogetpresident https,Android,
440,103,compare contrast these leaders #wenogetpresident https,Web App,Nigeria 
338,432,settle this like buhari retweet burna #wenogetpresident #saynotoxenophobia https ocjoin,Iphone,Nigeria
1494,1719,yesterday ycee peruzzi vector told shut said loves naija toke makinwa dremo kate henshaw tweeted,Android,Akwa Ibom State Uyo Nigeria
878,206,nigerians buhari south africans killing nigerians burning looting shops owned nigerians their coun https zzuscea,Web App,Nigeria
1873,1922,once stand with dino president slow react dull lead this lack proaction important issue,Android,Nowhere to be found 
2368,824,dear protesters forgetting this shoprite #wenogetpresident #saynotoxenophobia https ncuarguy,Android, T                 
1355,1251,settle this like burna retweet buhari #wenogetpresident #saynotoxenophobiaattacks https itai,Android,Lagos Nigeria
10557,10742,people that voted twice tweeting #wenogetpresident,Android,FRN   
678,1322,femi adeshina ashamed that buhari went behind back recall ambassador pull world economic,Android,Heaven s Gate 
214,397,settle this like buhari retweet burna #wenogetpresident #saynotoxenophobia https ocjoin,Android,Asaba  Nigeria
810,1070,nigeria #wenogetpresident https cjqlijud,Android,Lagos  Nigeria
1494,1719,when burna finally meets #wenogetpresident https dsmsqksdj,Android,Akwa Ibom State Uyo Nigeria
135,92,just show passports this long talk,Iphone,Nigeria
486,495,succinct summary nigeria there country #wenogetpresident https jshhsiwnmr,Web App,Nigeria
3361,2218,yesterday ycee peruzzi vector told shut said loves naija toke makinwa dremo kate henshaw tweeted,Android,Nigeria
440,103,only person could impeach sitting president would have carried long time #wenogetpresident,Web App,Nigeria 
2439,2477,lest have forgetting trillion unremitted nnpc alone that expl,Android,Earth 
649,473,garage goals #ferrari #mclaren #mercedes #sls #zlatan #tiwa #wizkid #wenogetpresident https fzcjoeab,Android,Benin City  Nigeria
199,53,#wenogetpresident https pngwvr,Android,Nigeria
301,111,thread boycott dstv simply because premier league download data friendly stre,Android,  PH
176,90,this sowore xenophobic attack best ever this responsible president should just watch #revol,Android,
156,161,zambian join #xenophobiainsouthafrica #wenogetpresident #saynotoxenophobia https gsovif,Iphone,Where men earn money
3361,2218,buhari only reacts anything that threatens government ipob shite sowore #wenogetpresident,Android,Nigeria
257,137,globacom like #wenogetpresident #stopkillingnigeriansinsa #saynotoxenophobia https eizko,Android,Ogogoro Village  Nigeria
1379,716,this bullshit only truly leader state address entire nation yesterday https ezwizqmo,Android,London  England
284,539,last president yaradua sadly underrated #wenogetpresident https vpwho mvcy,Android,Kaduna  Nigeria
100,39,wait special convoy never touch down pretoria since yesterday trekk #wenogetpresident https,Android,Abuja Nigeria
357,875,only words best president nigerians ever #wenogetpresiden,Iphone,
4531,3720,fastest growing economies africa ghana ethiopia djibouti senegal,Android,Somewhere
1691,1316,fuck todayuna know #wenogetpresident,Iphone,UnderTheSecretPlaceOfGod
648,1320,thank boko #saynotoxenophobia #wenogetpresident https meybkt,Android,Lagos 
1134,22568,xenophobia tells staff stay safe directed workers stay home view ongoing #xenophobi,Iphone,In Syria s heart
1226,1058,fastest growing economies africa ghana ethiopia djibouti senegal,Iphone,Abuja  Nigeria
39,11,hello everyone here kindly follow quick follow back #wenogetpresident,Iphone,
368,470,shame picking country that doesn have president #wenogetpresident,Android,North side  Twitter  
473,1474,shall foreigners south africa south african declares #xenophobiainsouthafrica #saynotoxenophobia #wen,Android,Federal Capital Territory  Nig
163,11,#wenogetpresident https phogf,Android,
622,222,guys forget #wenogetpresident #saynotoxenophobicattacks know shatta bandles birthday today,Android,SUN  
4999,2611,when protests #saynotoxenophobicattacks turns looting then nigerians leaving police with option,Android,
1657,1146,#wednesdaymotivation #seewhathappens #wenogetpresident,Ipad,Arizona  USA
4999,977,this sowore xenophobic attack best ever this responsible president should just watch #revol,Android,Lagos  Nigeria
8258,10793,those people preaching preaching when other people venting pray never gets door step trauma that,Android,Lagos  Nigeria
1374,1295,femi adeshina ashamed that buhari went behind back recall ambassador pull world economic,Android,Ukanafun  Nigeria 
211,44,settle this like buhari retweet burna #wenogetpresident #saynotoxenophobia https ocjoin,Iphone,Khartoum
1596,1906,travel chill name medical check will number time grow balls head,Android,Orlando  FL
1226,1058,this supposed elections year buyers remorse #wenogetpresident trending https elxyr,Iphone,Abuja  Nigeria
968,201,miss this must have taken action since #xenophobiainsouthafrica started president,Android,Lagos  Nigeria 
55,46,#wenogetpresident,Android,Nigeria 
155,19,guess south africa after their #xenophobicattacks nigerians ring leader #wenogetpresident,Android,Abuja  Nigeria
116,26,when iran shot down america drone earlier this year donald trump lament twitter within hour ordinary,Android,
585,581,country play,Android,Somewhere
674,662,nigeria celebrities ones that trying ties with south africa president buhari where,Android,Abuja  Nigeria
673,454,meanwhile same that deployed hundred shut down bobrisky harmless birthday struggled contain,Iphone,#Kwara #Gidi  shuffle
735,846,went angry still woke very angry this madness needs stop think longer news,Android,Abuja  Nigeria
9984,10930,this country joke government arrest bobrisky call national disgrace keep mute when nigerians,Iphone,Ghana
567,5863,#wenogetpresident #xenophobiainsouthafrica #revolutionnow #freesowore #revolutionisnow #revolutionprotest https,Android,Nigeria
2970,3930,please this instead #wenogetpresident https vyysd,Android,heavens Gate 
924,534,people that voted twice tweeting #wenogetpresident,Android,Streets of Africa 
1494,1719,settle this like buhari retweet burna #wenogetpresident #saynotoxenophobia https ocjoin,Android,Akwa Ibom State Uyo Nigeria
1407,1576,nigeria #wenogetpresident https cjqlijud,Iphone,Dirty Lagos 
19,12,which would prefer burnt dodo like #xenophobiainsouthafrica #saynotoxenophobiaattacks #wenoge,Android,
4548,2810,xenophobia #wenogetpresident trends twitter https eczwhauxt #nigerians #nigeria #saynotoxenophobia,Iphone,Lagos
118,138,settle this like buhari retweet burna #wenogetpresident #saynotoxenophobia https ocjoin,Web App,Uyo  Nigeria
9233,11067,once stand with dino president slow react dull lead this lack proaction important issue,Web App,
1401,1769,meanwhile same that deployed hundred shut down bobrisky harmless birthday struggled contain,Iphone,Home
10628,10409,those that voted buhari write #wenogetpresident real enemies this country because https ofxx,Android,Lagos  Nigeria
1813,1243,guess south africa after their #xenophobicattacks nigerians ring leader #wenogetpresident,Android,lagos
1133,370,lest have forgetting trillion unremitted nnpc alone that expl,Android,Calabar
548,524,this sowore xenophobic attack best ever this responsible president should just watch #revol,Android,Nigeria
625,593,this main shoprite attack next,Web App,Oshawa  Ontario
4567,2393,yesterday ycee peruzzi vector told shut said loves naija toke makinwa dremo kate henshaw tweeted,Android,Lagos  Nigeria
4030,4180,pictorially loud https qgmvgcjhic,Android,Lagos  Nigeria
221,143,lest have forgetting trillion unremitted nnpc alone that expl,Android,Worldwide 
585,581,nigerians kill buhari govt concerned blabla nigerian killed police house,Android,Somewhere
256,132,when nigeria crash burns worried killed #wenogetpresident https iinxubqmfk,Android,Ibadan  Nigeria
181,55,useless govt misplaced priorities #saynotoxenophobia #wenogetpresident https,Android,
5,72,hear what sowore said about xenophobic attack south africa said this months before another attack,Iphone,Malmo  Sweden
447,435,looking south africans nigeria synagogue church nations they full there never,Android,
1262,692,zambian join #xenophobiainsouthafrica #wenogetpresident #saynotoxenophobia https gsovif,Iphone,
726,1158,protesters always doing wrong things this shoprite where whole problem started from would attack,Web App,Nigeria
215,54,#periscope #football #music #birthday #cake #wenogetpresident https dpyc,Periscope,                             
294,384,people that voted twice tweeting #wenogetpresident,Android,
10418,12418,save bigbrother south african this year like this biggie morning house mates,Web App,Dhaka  Bangladesh
3719,3838,country play https qwcay,Android,   Nigeria   
325,16,this laughing,Android,
3207,917,shame catch leaders campaign shey road water southy beat your citizen thei https vgfvjc,Web App,Everywhere
363,496,xenophobia #wenogetpresident trends twitter https eczwhauxt #nigerians #nigeria #saynotoxenophobia,Android,
